Reference,WKT Polygon
AS-017903,"POLYGON ((145.012052137051 -37.9703569602173, 145.01220844063 -37.9702807509121, 145.012367166963 -37.9702075561797, 145.012527974713 -37.9701373702413, 145.012691079316 -37.9700706473105, 145.012856151582 -37.970006931234, 145.013020194295 -37.9699476132173, 145.013192058673 -37.9698895085172, 145.013362554613 -37.9698357060196, 145.013534894793 -37.9697852687247, 145.013708624098 -37.9697381889374, 145.013883623913 -37.9696946448805, 145.014060124255 -37.9696545503172, 145.01423789758 -37.9696179013986, 145.014471611348 -37.9695752578334, 145.01454206578 -37.9695629300109, 145.014585803858 -37.9697225433474, 145.014514068538 -37.9697359309611, 145.014266152899 -37.9697817591957, 145.014090531364 -37.9698188049569, 145.013916073887 -37.9698591142968, 145.013743112087 -37.9699030532864, 145.013571539441 -37.969950349784, 145.013401469711 -37.9700010057173, 145.013232789092 -37.9700550191697, 145.01306629648 -37.9701123135297, 145.012901531863 -37.9701730612653, 145.012738732506 -37.9702369059284, 145.01259..."
AS-017904,"POLYGON ((145.01454206578 -37.9695629300109, 145.014604518973 -37.9695518187967, 145.014906337702 -37.9695079811998, 145.015063577426 -37.9694898186719, 145.015253075898 -37.9694700376242, 145.0154916679 -37.9694533377056, 145.015811476627 -37.9694389089135, 145.015989731355 -37.9694350677528, 145.016168005291 -37.969434741178, 145.016346409819 -37.9694380211843, 145.016524598768 -37.969445082165, 145.016700197264 -37.969455343369, 145.01688001535 -37.9694695504704, 145.017057005772 -37.9694873142634, 145.017233219073 -37.9695085792202, 145.017293176512 -37.9694759768258, 145.017264705404 -37.9695991362395, 145.017245897323 -37.9696804644135, 145.017080543932 -37.9696574901609, 145.016914640989 -37.9696380209414, 145.016694335156 -37.9696181746309, 145.016581292858 -37.9696098697357, 145.016413961407 -37.9696011896631, 145.016246419233 -37.9695961104463, 145.016078668736 -37.9695945420085, 145.015911046392 -37.9695966702582, 145.015815005844 -37.9695995555547, 145.015522283889 -37.9696184065846, 145.015191..."
AS-017905,"POLYGON ((145.019826893462 -37.9699680804186, 145.019862816613 -37.969791967354, 145.019930208172 -37.9698004015729, 145.021129067075 -37.9699296233123, 145.021130187884 -37.9699260375227, 145.022103266017 -37.9700273885508, 145.021955066668 -37.9701964771264, 145.021168181774 -37.9701135780532, 145.019826893462 -37.9699680804186))"
AS-017906,"POLYGON ((145.017472699654 -37.9696704105159, 145.017493831723 -37.969583083696, 145.017522244181 -37.9694663214862, 145.017551814961 -37.9694969188417, 145.019756622348 -37.9697787343127, 145.019862816613 -37.969791967354, 145.019826893462 -37.9699680804186, 145.017472699654 -37.9696704105159))"
AS-017907,"POLYGON ((144.999714159789 -37.9215773784158, 144.99973515328 -37.9214407580793, 145.00088718661 -37.9215590186625, 145.000860504902 -37.9216957227944, 144.999714159789 -37.9215773784158))"
AS-017908,"POLYGON ((145.045958088855 -37.9806754334186, 145.045985706699 -37.9805399066471, 145.047997935781 -37.9807847427858, 145.048037031234 -37.9807616010638, 145.047996798155 -37.9808491571865, 145.047964778582 -37.9809189164711, 145.045958088855 -37.9806754334186))"
AS-017909,"POLYGON ((145.023257734949 -37.9314452802581, 145.02330001215 -37.9314215690478, 145.0236124083 -37.9296470105911, 145.023786799277 -37.9296691353763, 145.023481451226 -37.9314483186055, 145.023508387084 -37.931479140573, 145.023257734949 -37.9314452802581))"
AS-017910,"POLYGON ((145.0236124083 -37.9296470105911, 145.023773042666 -37.928734031917, 145.023835619457 -37.9283812843425, 145.023929273317 -37.9278153916321, 145.024112247745 -37.927979954646, 145.024072573897 -37.9280042506159, 145.023786799277 -37.9296691353763, 145.0236124083 -37.9296470105911))"
AS-017912,"POLYGON ((145.012821587061 -37.9128861510292, 145.012858054964 -37.912875141911, 145.013313239516 -37.9123689824883, 145.013441801506 -37.9122199371381, 145.013643558999 -37.911992644313, 145.013693141216 -37.9121791223712, 145.013026099547 -37.9129243903721, 145.012821587061 -37.9128861510292))"
AS-017911,"POLYGON ((145.038600296509 -37.9578471681046, 145.038641646801 -37.9576576214377, 145.038670401732 -37.9576891011354, 145.040193778376 -37.9578627391955, 145.04023447558 -37.9578389056447, 145.040191901745 -37.9580275313536, 145.040163363978 -37.9579964161072, 145.038638012299 -37.9578241865549, 145.038600296509 -37.9578471681046))"
AS-017913,"POLYGON ((145.017291162258 -37.9705832009221, 145.017328822089 -37.9704316296125, 145.019394705131 -37.9706948887343, 145.019378605658 -37.9708322250677, 145.017312464628 -37.9705699525552, 145.017291162258 -37.9705832009221))"
AS-017914,"POLYGON ((145.019378605658 -37.9708322250677, 145.019394705131 -37.9706948887343, 145.01970850309 -37.9707348684737, 145.021810374404 -37.9709557959992, 145.021648081299 -37.9710900423914, 145.021636380185 -37.9710721827401, 145.019667671571 -37.9708690848575, 145.019378605658 -37.9708322250677))"
AS-017915,"POLYGON ((144.999991750777 -37.9238609675134, 145.000164137602 -37.9238848954067, 145.00006284392 -37.9243819688148, 145.00011013702 -37.9243999851102, 145.000106417152 -37.9244155120436, 145.000054596428 -37.9244218403733, 144.999956539781 -37.9249127506215, 144.999948455189 -37.9250305757969, 144.999994788694 -37.9251386023091, 145.000068050625 -37.9252269005015, 144.999997005393 -37.9255774177032, 144.999826716692 -37.9255556880007, 144.999884147918 -37.9252583785772, 144.999833751222 -37.9251953412356, 144.999775724716 -37.9250570168972, 144.99977791923 -37.9249046670442, 144.999991750777 -37.9238609675134))"
